Opened PDF: d:\coreminds\parsing\pdf-parser-python\uploads\c1f6f5ec-a39d-4a08-a68b-94274cba938c_PL-300-khhiih.pdf
Pages: 528

--- Page 4 ---
  get_images(full=True) count: 1051
    Image 286: xref=1509, w=574, h=560, ext=jpeg, size=36680 bytes
    Image 287: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 288: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 289: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 290: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 291: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 292: xref=1515, w=453, h=230, ext=jpeg, size=9855 bytes
    Image 293: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 294: xref=1517, w=412, h=226, ext=jpeg, size=10328 bytes
    Image 295: xref=1518, w=1067, h=642, ext=jpeg, size=43712 bytes
    Image 296: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 297: xref=1520, w=791, h=265, ext=jpeg, size=23863 bytes
    Image 298: xref=1521, w=743, h=273, ext=jpeg, size=23545 bytes
    Image 299: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 300: xref=1523, w=445, h=212, ext=png, size=6706 bytes
    Image 301: xref=1524, w=705, h=381, ext=jpeg, size=27078 bytes
    Image 302: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 303: xref=1128, w=1000, h=255, ext=jpeg, size=21153 bytes
    Image 304: xref=1129, w=549, h=365, ext=jpeg, size=17533 bytes
    Image 305: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 306: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 307: xref=1527, w=361, h=142, ext=jpeg, size=3047 bytes
    Image 308: xref=1528, w=765, h=202, ext=jpeg, size=16122 bytes
    Image 309: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 310: xref=1530, w=420, h=155, ext=jpeg, size=10751 bytes
    Image 311: xref=1531, w=624, h=162, ext=jpeg, size=15628 bytes
    Image 312: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 313: xref=1533, w=791, h=297, ext=jpeg, size=35286 bytes
    Image 314: xref=1534, w=779, h=286, ext=jpeg, size=34463 bytes
    Image 315: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 316: xref=1536, w=196, h=220, ext=png, size=2786 bytes
    Image 317: xref=1537, w=821, h=256, ext=jpeg, size=14249 bytes
    Image 318: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 319: xref=1539, w=829, h=253, ext=jpeg, size=14091 bytes
    Image 320: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 321: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 322: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 323: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 324: xref=1544, w=453, h=713, ext=jpeg, size=22200 bytes
    Image 325: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 326: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 327: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 328: xref=1547, w=691, h=243, ext=jpeg, size=7916 bytes
    Image 329: xref=1548, w=978, h=129, ext=jpeg, size=9157 bytes
    Image 330: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 331: xref=1550, w=1023, h=165, ext=jpeg, size=8706 bytes
    Image 332: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 333: xref=1552, w=783, h=355, ext=jpeg, size=16889 bytes
    Image 334: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 335: xref=1554, w=996, h=142, ext=jpeg, size=7230 bytes
    Image 336: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 337: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 338: xref=1557, w=898, h=194, ext=jpeg, size=6145 bytes
    Image 339: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 340: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 341: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 342: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 343: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 344: xref=1562, w=999, h=353, ext=jpeg, size=20549 bytes
    Image 345: xref=1563, w=880, h=148, ext=jpeg, size=5450 bytes
    Image 346: xref=1564, w=179, h=176, ext=jpeg, size=3685 bytes
    Image 347: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 348: xref=1566, w=824, h=328, ext=jpeg, size=15076 bytes
    Image 349: xref=1567, w=863, h=141, ext=jpeg, size=6033 bytes
    Image 350: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 351: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 352: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 353: xref=1571, w=624, h=112, ext=jpeg, size=6732 bytes
    Image 354: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 355: xref=1573, w=624, h=80, ext=jpeg, size=3464 bytes
    Image 356: xref=1574, w=1123, h=144, ext=jpeg, size=8147 bytes
    Image 357: xref=1575, w=496, h=194, ext=jpeg, size=11929 bytes
    Image 358: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 359: xref=1577, w=466, h=278, ext=jpeg, size=17643 bytes
    Image 360: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 361: xref=1579, w=554, h=356, ext=jpeg, size=20050 bytes
    Image 362: xref=1580, w=484, h=221, ext=jpeg, size=13408 bytes
    Image 363: xref=1077, w=800, h=43, ext=jpeg, size=1228 bytes
    Image 364: xref=1582, w=417, h=101, ext=jpeg, size=6519 bytes
    Image 365: xref=1583, w=589, h=133, ext=jpeg, size=12533 bytes
